"대상연도","기관구분","기관명","기준배출량(tonCO₂-eq)","온실가스 순 배출량(tonCO₂-eq)","온실가스 총 감축량(tonCO₂-eq)","온실가스 감축(%)","권장목표 달성유무(13.2%)","비고"
"2024","지방공사/공단","세종도시교통공사","13069","12559","510","3.902","N",""
"2024","지방공사/공단","경주시시설관리공단","1267","1154","113","8.919","N",""
"2024","지방공사/공단","서울시설공단","35645","30424","5221","14.647","Y",""
"2024","지방공사/공단","광명도시공사","895","789","106","11.844","N",""
"2024","지방공사/공단","여수시도시관리공단","3982","3729","253","6.354","N",""
"2024","지방공사/공단","인천광역시연수구시설안전관리공단","677","440","237","35.007","Y",""
"2024","지방공사/공단","부천도시공사","8562","7747","815","9.519","N",""
"2024","지방공사/공단","수원도시공사","6864","5594","1270","18.502","Y",""
"2024","지방공사/공단","창원시설공단","6668","6470","198","2.969","N",""
"2024","지방공사/공단","인천시설공단","13944","11023","2921","20.948","Y",""
"2024","지방공사/공단","사천시시설관리공단","9215","7997","1218","13.218","Y",""
"2024","지방공사/공단","인천광역시미추홀구시설관리공단","206","154","52","25.243","Y",""
"2024","지방공사/공단","경상북도문화관광공사","3173","3228","-55","-1.733","N",""
"2024","지방공사/공단","안양도시공사","4229","4261","-32","-0.757","N",""
"2024","지방공사/공단","포천도시공사","1261","1186","75","5.948","N",""
"2024","지방공사/공단","울산광역시북구시설관리공단","2763","2473","290","10.496","N",""
"2024","지방공사/공단","시흥도시공사","3165","2059","1106","34.945","Y",""
"2024","지방공사/공단","군포도시공사","2551","2468","83","3.254","N",""
"2024","지방공사/공단","과천도시공사","4682","4762","-80","-1.709","N",""
"2024","지방공사/공단","원주시시설관리공단","4600","4327","273","5.935","N",""
"2024","지방공사/공단","영천시시설관리공단","774","686","88","11.37","N",""
"2024","지방공사/공단","파주도시관광공사","3853","3452","401","10.407","N",""
"2024","지방공사/공단","경기주택도시공사","1028","682","346","33.658","Y",""
"2024","지방공사/공단","김포도시관리공사","4033","3949","84","2.083","N",""
"2024","지방공사/공단","경기교통공사","30","10","20","66.667","Y",""
"2024","지방공사/공단","창원레포츠파크","1787","1349","438","24.51","Y",""
"2024","지방공사/공단","김천시시설관리공단","2377","2055","322","13.546","Y",""
"2024","지방공사/공단","평창군시설관리공단","335","296","39","11.642","N",""
"2024","지방공사/공단","단양관광공사","376","316","60","15.957","Y",""
"2024","지방공사/공단","광주광역시서구시설관리공단","1108","1108","0","0","N",""
"2024","지방공사/공단","광주광역시북구시설관리공단","1946","1869","77","3.957","N",""
"2024","지방공사/공단","양주도시공사","2863","2432","431","15.054","Y",""
"2024","지방공사/공단","대전관광공사","3516","2711","805","22.895","Y",""
"2024","지방공사/공단","합천군시설관리공단","4064","4196","-132","-3.248","N",""
"2024","지방공사/공단","대구공공시설관리공단","4865","4534","331","6.804","N",""
"2024","지방공사/공단","부산광역시남구시설관리공단","2555","1646","909","35.577","Y",""
"2024","지방공사/공단","익산시도시관리공단","0","0","0","0","N",""
"2024","지방공사/공단","평택도시공사","226","141","85","37.611","Y",""
"2024","지방공사/공단","강릉관광개발공사","1497","1256","241","16.099","Y",""
"2024","지방공사/공단","통영관광개발공사","1215","1014","201","16.543","Y",""
"2024","지방공사/공단","영양고추유통공사","2894","1957","937","32.377","Y",""
"2024","지방공사/공단","포항시시설관리공단","4412","3969","443","10.041","N",""
"2024","국/공립대학","강원대학교","7022","5919","1103","15.708","Y",""
"2024","국/공립대학","공주대학교","16139","13759","2380","14.747","Y",""
"2024","국/공립대학","군산대학교","6319","6700","-381","-6.029","N",""
"2024","국/공립대학","금오공과대학교","7664","7538","126","1.644","N",""
"2024","국/공립대학","목포대학교","8133","7553","580","7.131","N",""
"2024","국/공립대학","목포해양대학교","3310","4504","-1194","-36.073","N",""
"2024","국/공립대학","부산대학교","7662","7817","-155","-2.023","N",""
"2024","국/공립대학","순천대학교","8507","7759","748","8.793","N",""
"2024","국/공립대학","안동대학교","8453","8010","443","5.241","N",""
"2024","국/공립대학","제주대학교","12454","10153","2301","18.476","Y",""
"2024","국/공립대학","창원대학교","7665","8319","-654","-8.532","N",""
"2024","국/공립대학","한국교원대학교","7423","5591","1832","24.68","Y",""
"2024","국/공립대학","한국체육대학교","7266","5709","1557","21.429","Y",""
"2024","국/공립대학","한국해양대학교","8196","7915","281","3.429","N",""
"2024","국/공립대학","공주교육대학교","1766","1570","196","11.099","N",""
"2024","국/공립대학","광주교육대학교","1959","1975","-16","-0.817","N",""
"2024","국/공립대학","대구교육대학교","1970","1732","238","12.081","N",""
"2024","국/공립대학","부산교육대학교","1548","1450","98","6.331","N",""
"2024","국/공립대학","서울교육대학교","3967","2632","1335","33.653","Y",""
"2024","국/공립대학","전주교육대학교","1354","1241","113","8.346","N",""
"2024","국/공립대학","진주교육대학교","1474","1353","121","8.209","N",""
"2024","국/공립대학","청주교육대학교","1195","1306","-111","-9.289","N",""
"2024","국/공립대학","춘천교육대학교","1891","1706","185","9.783","N",""
"2024","국/공립대학","한국방송통신대학교","7165","5003","2162","30.174","Y",""
"2024","국/공립대학","부경대학교","15031","15198","-167","-1.111","N",""
"2024","국/공립대학","한밭대학교","8899","8795","104","1.169","N",""
"2024","국/공립대학","경인교육대학교","3693","2938","755","20.444","Y",""
"2024","국/공립대학","인천대학교","15980","14448","1532","9.587","N",""
"2024","국/공립대학","강릉원주대학교","9566","9793","-227","-2.373","N",""
"2024","국/공립대학","서울과학기술대학교","14251","12817","1434","10.062","N",""
"2024","국/공립대학","한국교통대학교","8272","7271","1001","12.101","N",""
"2024","국/공립대학","경상국립대학교","23343","23680","-337","-1.444","N",""
"2024","국/공립대학","한경국립대학교","6280","5174","1106","17.611","Y",""
